date,type,category,index
2023-09-01,output,straw,86.35004981733645
2023-09-01,output,fresh_vegetables,130.0846384346296
2023-09-01,output,cauliflowers,75.284914936636
2023-09-01,output,tomatoes,235.0163554147501
2023-09-01,output,cabbages,121.1100724445009
2023-09-01,output,lettuce,119.1461489561397
2023-09-01,output,carrots,111.39104818205838
2023-09-01,output,onions,165.96621618713735
2023-09-01,output,beans_green,98.9551154770418
2023-09-01,output,mushrooms,109.52432359748343
2023-09-01,output,fresh_fruit,105.21501545478122
2023-09-01,output,dessert_apples,118.01611681525296
2023-09-01,output,cooking_apples,72.99612503167869
2023-09-01,output,dessert_pears,122.2851175324535
2023-09-01,output,strawberries,98.75279634853464
2023-09-01,output,raspberries,115.04614529077868
2023-09-01,output,flowers_and_plants,110.5460833623255
2023-09-01,output,other_crop_products,99.99999999644285
2023-09-01,output,animals_and_animal_products,129.27471940553582
2023-09-01,output,animals_for_slaughter_export,127.01088036553251
2023-09-01,output,cattle_and_calves,134.60285157234708
2023-09-01,output,cattle_clean,134.1858581506064
2023-09-01,output,cows_and_bulls,139.15702590687042
2023-09-01,output,calves,92.55715685389427
2023-09-01,output,pigs,139.91954822810962
2023-09-01,output,pigs_clean,138.78683358949186
2023-09-01,output,sows_and_boars,193.77513990235911
2023-09-01,output,sheep_and_lambs,114.55650627365523
2023-09-01,output,sheep_and_lambs_clean,115.51232416617745
2023-09-01,output,ewes_and_rams,103.31799614252968
2023-09-01,output,all_poultry,118.76429492044667
2023-09-01,output,chickens,121.25814547388
2023-09-01,output,turkeys,100
2023-09-01,output,animal_products,132.93331421280345
2023-09-01,output,milk,127.37023200799804
2023-09-01,output,eggs,168.48338228795242
2023-09-01,output,intensive_eggs,171.96250810230725
2023-09-01,output,free_range_eggs,166.94413273022738
2023-09-01,output,wool_clip,169.0322580645161
2023-09-01,input,all_agricultural_inputs,132.0849335942191
2023-09-01,input,all_goods_and_services_currently_consumed_in_agriculture,133.25218191984777
2023-09-01,input,seeds_input,105.10016000615848
2023-09-01,input,energy_and_lubricants,165.49207033048896
2023-09-01,input,electricity,175.2264251465104
2023-09-01,input,fuels_for_heating,185.62705495537807
2023-09-01,input,motor_fuels,158.8999849534778
2023-09-01,input,fertilisers_and_soil_improvers,159.9586692407602
2023-09-01,input,straight_fertilisers,160.20547354637213
2023-09-01,input,straight_fertilisers_nitrogenous,159.09707675361972
2023-09-01,input,straight_fertilisers_phosphatic,170.9587010098777
2023-09-01,input,straight_fertilisers_potassic,172.41120950016077
2023-09-01,input,compound_fertilisers,168.91782921850665
2023-09-01,input,other_fertilisers_and_soil_improvers,115.21377851639218
2023-09-01,input,plant_protection_products,128.39843057226116
2023-09-01,input,fungicides,111.59841288368106
2023-09-01,input,insecticides,111.2249738793296
2023-09-01,input,herbicides,117.84830829395456
2023-09-01,input,other_plant_protection_products,260.928382795125
2023-09-01,input,veterinary_services,105.7297110102618
2023-09-01,input,animal_feedingstuffs,134.19558574221685
2023-09-01,input,straight_feedingstuffs,121.51447783095685
2023-09-01,input,cereal_and_milling_by_products,116.57885259087618
2023-09-01,input,feed_wheat,114.31544736235337
2023-09-01,input,feed_barley,128.0450566764503
2023-09-01,input,feed_oats,142.60044143937193
2023-09-01,input,oilcakes,125.96535364928727
2023-09-01,input,soya_bean_meal,133.05686705241112
2023-09-01,input,sunflower_seed_meal,97.13869772803919
2023-09-01,input,rape_seed_meal,114.91305204930451
2023-09-01,input,products_of_animal_origin_incl_white_fish_meal,116.46707432431202
2023-09-01,input,other_straights,122.20198646566676
2023-09-01,input,field_peas,103.85508598374236
2023-09-01,input,field_beans,101.07652481800444
2023-09-01,input,soya_beans,151.30676719457117
2023-09-01,input,compound_feedingstuffs,138.96610653556965
2023-09-01,input,compound_feedingstuffs_for_cattle_and_calves,143.33781270576787
2023-09-01,input,compound_feedingstuffs_for_pigs,130.71890780568577
2023-09-01,input,compound_feedingstuffs_for_poultry,138.20050030029074
2023-09-01,input,compound_feedingstuffs_for_sheep,147.75484248257533
2023-09-01,input,maintenance_of_materials,121.2568070085981
2023-09-01,input,maintenance_of_buildings,137.42021671367078
2023-09-01,input,other_goods_and_services,119.09146885452824
2023-09-01,input,goods_and_services_contributing_to_investment,126.56804406401533
2023-09-01,input,materials,121.71024868901982
2023-09-01,input,machinery_and_other_equipment,123.59233159141226
2023-09-01,input,plant_and_machinery_for_cultivation,129.99088422971744
2023-09-01,input,farm_machinery_and_installations,99.99239686048821
2023-09-01,input,transport_equipment,120.21030243485468
2023-09-01,input,tractors,120.65553004512704
2023-09-01,input,other_vehicles,118.38762299821063
2023-09-01,input,buildings,136.9960509299001
2023-08-01,output,all_agricultural_outputs,129.0315052084534
2023-08-01,output,crop_products,126.2566849497774
2023-08-01,output,cereals,126.46087614636969
2023-08-01,output,wheat,117.08772629579967
2023-08-01,output,wheat_feeding,112.55629680772587
2023-08-01,output,wheat_breadmaking,137.1799652671958
2023-08-01,output,wheat_other_milling,119.1014072240892
2023-08-01,output,barley,138.33810287790706
2023-08-01,output,barley_feeding,121.59164855857101
2023-08-01,output,barley_malting,158.31869592107716
2023-08-01,output,oats,141.47566493835384
2023-08-01,output,oats_milling,142.03261945486142
2023-08-01,output,oats_feeding,155.85152006377507
